ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv
300378.SZ,20191025,15.75,2.3748,3.629,0.92,52.8497,49.7052,3.199,3.1216,3.0211,26588.1553,26456.4328,17312.5214,418763.446,416688.8166
603501.SH,20191025,104.75,2.2246,2.2246,1.0,651.7706,10897.7802,5.8151,22.8254,25.008,86366.2098,14053.5394,14053.5394,9046860.4766,1472108.2522
603399.SH,20191025,11.46,1.2509,1.9016,0.78,32.8626,,2.6307,1.6797,1.8964,54675.0649,50805.0649,33421.0532,626576.2438,582226.0438
603288.SH,20191025,107.04,0.1351,0.5364,1.25,66.2222,59.3897,20.6774,16.9684,15.6458,270036.934,270036.934,68018.9339,28904753.4154,28904753.4154
300158.SZ,20191025,4.92,0.6394,1.1248,0.86,,,0.9243,1.4863,1.2231,103305.466,100783.0672,57288.8746,508262.8927,495852.6906
000833.SZ,20191025,5.17,0.3587,0.4487,0.83,39.0573,54.3797,1.2498,1.0907,1.0646,66840.1851,37808.4222,30228.4222,345563.757,195469.5428
600833.SH,20191025,9.57,0.3325,0.604,1.14,45.2448,38.0049,2.9404,1.8144,1.7747,22308.6347,22308.6347,12281.1613,213493.6341,213493.6341
002188.SZ,20191025,2.99,0.2323,0.3107,0.36,,,,6.129,9.1212,29562.7524,23788.184,17786.8838,88392.6297,71126.6702
000778.SZ,20191025,3.91,0.2203,0.3605,0.79,7.4259,8.7372,0.7554,0.3848,0.3744,399088.0176,392106.9772,239577.6033,1560434.1488,1533138.2809
600758.SH,20191025,4.59,1.1849,2.1441,0.9,53.7533,30.8146,1.0832,0.83,0.8782,132201.7394,78569.4505,43418.7459,606805.9838,360633.7778
000524.SZ,20191025,7.52,0.6036,1.2697,1.3,24.6009,17.6791,1.9467,0.7121,0.6619,67020.8597,27230.1442,12944.9232,503996.8649,204770.6844
002320.SZ,20191025,8.58,1.0812,3.3906,3.07,40.3653,48.7442,2.291,8.0982,7.8099,99063.6972,83754.5775,26707.7281,849966.522,718614.275
600499.SH,20191025,4.04,0.3725,0.5282,1.26,,,1.3428,1.0496,1.0124,157720.5702,141146.4322,99548.3288,637191.1036,570231.5861
600871.SH,20191025,2.24,0.0707,0.4777,0.95,299.3532,169.7365,6.458,0.7281,0.6541,1898434.0033,1204266.0995,178333.3333,4252492.1674,2697556.0629
002398.SZ,20191025,5.44,1.5721,1.8408,0.64,15.1218,10.5424,1.3716,1.3872,1.183,69250.8627,52978.5465,45245.1207,376724.6931,288203.293
000958.SZ,20191025,6.29,0.8396,1.3876,0.62,49.8764,39.2792,2.5209,2.3433,2.249,110227.3226,109927.3226,66514.603,693329.8592,691442.8592
000048.SZ,20191025,23.2,0.3846,1.4416,1.52,20.7269,14.4346,7.7299,2.6378,2.3411,39076.8671,39070.7448,10422.3886,906583.3167,906441.2794
600234.SH,20191025,8.84,0.1165,0.1967,0.17,,,29.7731,12.2245,11.6819,20244.588,20244.588,11994.1088,178962.1579,178962.1579
603881.SH,20191025,31.73,8.87,13.4152,5.75,46.774,45.6593,6.3234,7.3453,6.8526,21058.6508,12784.4558,8452.9677,668190.9899,405650.7825
002899.SZ,20191025,13.66,1.2168,1.812,0.76,26.1491,27.728,1.6248,1.806,1.7708,12000.0,7933.65,5327.95,163920.0,108373.659
002780.SZ,20191025,19.07,1.0474,1.3991,0.48,552.0442,677.1462,4.3474,6.6044,6.9509,14557.1324,10474.5468,7841.5893,277604.5149,199749.6075
000999.SZ,20191025,32.3,0.3949,1.0859,0.82,22.0787,13.5824,2.5984,2.3547,2.2389,97890.0,97839.5308,35582.5676,3161847.0,3160216.8448
300742.SZ,20191025,24.94,2.6486,3.5129,1.09,92.2953,492.6132,1.7188,3.9686,7.9211,7849.857,4296.0832,3239.0815,195775.4336,107144.315
000531.SZ,20191025,6.86,0.3366,0.8002,0.85,57.3545,15.5564,1.1875,1.5068,1.5734,68508.282,68508.282,28816.3546,469966.8145,469966.8145
600890.SH,20191025,5.4,0.5399,0.8678,1.07,,,13.1856,255.8333,257.6289,57919.4925,57919.4925,36036.455,312765.2595,312765.2595
002011.SZ,20191025,5.38,2.0961,3.626,0.81,,,1.8082,0.5249,0.526,91721.218,91360.1102,52813.002,493460.1528,491517.3929
002413.SZ,20191025,5.57,0.5766,0.7552,0.72,44.19,43.839,1.7015,6.0584,5.6303,108116.745,104042.3025,79435.5879,602210.2697,579515.6249
300145.SZ,20191025,3.49,0.7447,1.4563,0.72,15.6026,19.1992,1.3311,1.5387,1.6337,192343.8236,140964.6726,72085.0324,671279.9444,491966.7074
002244.SZ,20191025,4.38,0.8777,1.9041,0.9,11.198,9.9375,0.8563,0.6454,0.724,311144.389,270290.389,124586.8168,1362812.4238,1183871.9038
002403.SZ,20191025,8.39,0.2225,0.4733,0.37,19.7663,21.4538,1.3121,0.9022,0.8769,35032.0801,31561.8676,14839.7949,293919.152,264804.0692
600371.SH,20191025,11.73,4.46,8.7034,1.2,50.7368,28.544,5.6547,10.004,9.7076,22506.0,22506.0,11532.9127,263995.38,263995.38
600704.SH,20191025,5.57,0.2099,0.4326,0.83,10.0066,8.7268,1.3013,0.0799,0.0728,430668.2417,430668.2417,208890.1507,2398822.1063,2398822.1063
002092.SZ,20191025,6.66,0.4673,0.7005,1.04,5.8877,17.3634,0.7544,0.2036,0.1597,214644.9598,214634.6698,143184.6786,1429535.4323,1429466.9009
603661.SH,20191025,37.98,2.1193,2.1193,0.67,22.217,15.8169,1.6101,1.6386,1.5266,10000.0,2875.0,2875.0,379800.0,109192.5
600393.SH,20191025,2.58,4.1645,4.5314,0.48,22.5664,,1.0932,1.9977,2.0444,253624.787,98820.5552,90820.5552,654351.9505,254957.0324
300211.SZ,20191025,6.78,1.7768,1.7936,0.53,412.1567,363.806,4.3111,16.0406,19.7041,30267.5973,14924.7047,14785.0849,205214.3097,101189.4979
300071.SZ,20191025,3.25,32.6031,39.513,3.62,,,26.6901,0.6456,0.6951,67849.1488,48430.4921,39961.2119,220509.7336,157399.0993
002687.SZ,20191025,5.95,0.9346,1.35,0.91,18.4327,16.3876,1.9973,2.073,1.937,35000.0,29376.5,20337.0,208250.0,174790.175
300740.SZ,20191025,10.07,13.1573,18.2093,1.04,31.6716,57.7865,3.1242,1.8438,1.8504,41112.0808,19956.8583,14419.994,413998.6537,200965.5631
603822.SH,20191025,24.17,0.5592,0.9249,0.73,32.9863,30.2568,2.4048,1.7056,1.5927,7335.5023,7335.5023,4435.0123,177299.0906,177299.0906
002876.SZ,20191025,45.03,2.3884,2.9421,0.55,169.075,163.697,5.192,5.3039,3.6616,10400.0,7053.5602,5726.1406,468312.0,317621.8158
000514.SZ,20191025,4.03,0.1817,0.4937,0.75,135.0397,138.0435,1.132,6.2966,9.7043,84377.0965,84377.0965,31062.1866,340039.6989,340039.6989
600741.SH,20191025,23.81,0.2817,0.676,1.02,9.3515,11.3436,1.7661,0.4776,0.5138,315272.3984,315272.3984,131406.0855,7506635.8059,7506635.8059
300558.SZ,20191025,53.74,3.1179,3.5646,0.91,129.1809,99.0329,9.09,17.6035,13.9931,40100.0,16939.9427,14817.2592,2154974.0,910352.5207
000707.SZ,20191025,3.26,0.8601,1.1485,0.67,11.1468,,8.1603,0.4014,0.4767,46414.5765,46414.4265,34758.1055,151311.5194,151311.0304
603138.SH,20191025,16.55,4.6708,4.6708,0.71,64.3661,76.3105,7.6645,6.4932,6.5283,21060.984,6701.436,6701.436,348559.2852,110908.7658
600838.SH,20191025,6.37,0.4361,0.5936,0.95,25.9008,25.7239,2.0382,36.0513,36.7404,40088.1981,40088.1981,29455.6988,255361.8219,255361.8219
002305.SZ,20191025,2.2,0.4134,0.8973,1.01,45.2346,45.1105,0.8542,0.9465,0.6087,173421.577,173173.5031,79779.4166,381527.4694,380981.7068
300769.SZ,20191025,83.1,2.9972,2.9972,0.77,36.2036,31.3903,3.7883,3.3713,3.5683,4274.5652,1069.0,1069.0,355216.3681,88833.9
603116.SH,20191025,7.06,0.1057,0.2641,0.96,20.7492,27.8818,1.1951,1.3376,1.3454,57620.08,57620.08,23052.7549,406797.7648,406797.7648
603603.SH,20191025,11.73,4.3681,9.4197,0.72,26.5045,34.8324,2.5396,1.1302,1.1686,41778.4056,23483.0015,10889.5111,490060.6977,275455.6076
600909.SH,20191025,6.26,0.4012,0.533,1.39,40.9348,26.1473,1.7828,12.8695,9.4935,362100.0,270200.0,203379.6469,2266746.0,1691452.0
300194.SZ,20191025,5.5,2.3548,2.6378,0.72,,,1.7008,2.4514,2.4717,118971.2382,89270.3831,79694.464,654341.8101,490987.1071
300152.SZ,20191025,3.93,5.7578,8.1464,0.78,,,3.526,5.3213,5.2431,71280.0,71269.12,50372.6585,280130.4,280087.6416
600302.SH,20191025,4.52,0.5222,0.9124,0.75,55.1241,1021.0434,1.3203,2.0932,2.3674,34600.9804,34600.9804,19801.8356,156396.4314,156396.4314
002383.SZ,20191025,10.63,0.7888,0.8653,0.79,41.3721,,2.0559,3.4439,13.9857,74515.8184,49029.3341,44698.5318,792103.1496,521181.8215
603681.SH,20191025,29.65,4.5331,4.5331,0.6,37.5973,34.7687,3.8334,2.9038,2.6594,16659.1604,4164.7901,4164.7901,493944.1059,123486.0265
600618.SH,20191025,7.45,0.1615,0.5738,0.82,8.1811,7.546,2.0651,1.2015,1.3037,115639.9976,74983.9976,21103.4329,861517.9821,558630.7821
