cal_date,is_open,pretrade_date
20140910,1,20140909
20140911,1,20140910
20140912,1,20140911
20140913,0,20140912
20140914,0,20140912
20140915,1,20140912
20140916,1,20140915
20140917,1,20140916
20140918,1,20140917
20140919,1,20140918
20140920,0,20140919
20140921,0,20140919
20140922,1,20140919
20140923,1,20140922
20140924,1,20140923
20140925,1,20140924
20140926,1,20140925
20140927,0,20140926
20140928,0,20140926
20140929,1,20140926
20140930,1,20140929
20141001,0,20140930
20141002,0,20140930
20141003,0,20140930
20141004,0,20140930
20141005,0,20140930
20141006,0,20140930
20141007,0,20140930
20141008,1,20140930
20141009,1,20141008
20141010,1,20141009
20141011,0,20141010
20141012,0,20141010
20141013,1,20141010
20141014,1,20141013
20141015,1,20141014
20141016,1,20141015
20141017,1,20141016
20141018,0,20141017
20141019,0,20141017
20141020,1,20141017
20141021,1,20141020
20141022,1,20141021
20141023,1,20141022
20141024,1,20141023
20141025,0,20141024
20141026,0,20141024
20141027,1,20141024
20141028,1,20141027
20141029,1,20141028
20141030,1,20141029
20141031,1,20141030
20141101,0,20141031
20141102,0,20141031
20141103,1,20141031
20141104,1,20141103
20141105,1,20141104
20141106,1,20141105
20141107,1,20141106
20141108,0,20141107
20141109,0,20141107
20141110,1,20141107
20141111,1,20141110
20141112,1,20141111
20141113,1,20141112
20141114,1,20141113
20141115,0,20141114
20141116,0,20141114
20141117,1,20141114
20141118,1,20141117
20141119,1,20141118
20141120,1,20141119
20141121,1,20141120
20141122,0,20141121
20141123,0,20141121
20141124,1,20141121
20141125,1,20141124
20141126,1,20141125
20141127,1,20141126
20141128,1,20141127
20141129,0,20141128
20141130,0,20141128
20141201,1,20141128
20141202,1,20141201
20141203,1,20141202
20141204,1,20141203
20141205,1,20141204
20141206,0,20141205
20141207,0,20141205
20141208,1,20141205
20141209,1,20141208
20141210,1,20141209
20141211,1,20141210
20141212,1,20141211
20141213,0,20141212
20141214,0,20141212
20141215,1,20141212
20141216,1,20141215
20141217,1,20141216
20141218,1,20141217
20141219,1,20141218
20141220,0,20141219
20141221,0,20141219
20141222,1,20141219
20141223,1,20141222
20141224,1,20141223
20141225,1,20141224
20141226,1,20141225
20141227,0,20141226
20141228,0,20141226
20141229,1,20141226
20141230,1,20141229
20141231,1,20141230
20150101,0,20141231
20150102,0,20141231
20150103,0,20141231
20150104,0,20141231
20150105,1,20141231
20150106,1,20150105
20150107,1,20150106
20150108,1,20150107
20150109,1,20150108
20150110,0,20150109
20150111,0,20150109
20150112,1,20150109
20150113,1,20150112
20150114,1,20150113
20150115,1,20150114
20150116,1,20150115
20150117,0,20150116
20150118,0,20150116
20150119,1,20150116
20150120,1,20150119
20150121,1,20150120
