code,symbol,name,industry
600560,,金自天正,电气设备
600405,,动力源,电气设备
603637,,镇海股份,建筑工程
002863,,今飞凯达,汽车配件
300189,,神农科技,种植业
600283,,钱江水利,水务
300327,,中颖电子,半导体
002611,,东方精工,轻工机械
300077,,国民技术,半导体
600780,,通宝能源,火力发电
601990,,南京证券,证券
300539,,横河模具,塑料
300010,,立思辰,软件服务
600675,,中华企业,区域地产
600598,,北大荒,种植业
002249,,大洋电机,电气设备
002185,,华天科技,半导体
600395,,盘江股份,煤炭开采
600463,,空港股份,园区开发
300568,,星源材质,化工原料
002725,,跃岭股份,汽车配件
600824,,益民集团,百货
603586,,金麒麟,汽车配件
000565,,渝三峡Ａ,染料涂料
300044,,赛为智能,软件服务
300371,,汇中股份,电器仪表
002213,,特 尔 佳,汽车配件
600493,,凤竹纺织,纺织
002541,,鸿路钢构,钢加工
300464,,星徽精密,机械基件
603366,,日出东方,家用电器
603517,,绝味食品,食品
600929,,湖南盐业,食品
002236,,大华股份,电器仪表
000088,,盐 田 港,港口
600381,,青海春天,医疗保健
002442,,龙星化工,化工原料
000632,,三木集团,综合类
300240,,飞力达,仓储物流
603380,,易德龙,元器件
002278,,神开股份,化工机械
000686,,东北证券,证券
600807,,ST天业,区域地产
002079,,苏州固锝,半导体
002910,,庄园牧场,乳制品
600600,,青岛啤酒,啤酒
002221,,东华能源,石油贸易
000739,,普洛药业,化学制药
603367,,辰欣药业,化学制药
300248,,新开普,软件服务
300369,,绿盟科技,软件服务
300426,,唐德影视,影视音像
002473,,圣莱达,家用电器
002217,,合力泰,元器件
002907,,华森制药,化学制药
002160,,常铝股份,铝
300185,,通裕重工,工程机械
600095,,哈高科,区域地产
002504,,弘高创意,装修装饰
300783,,三只松鼠,食品
300497,,富祥股份,化学制药
600568,,中珠医疗,区域地产
002238,,天威视讯,影视音像
000410,,*ST沈机,机床制造
300493,,润欣科技,通信设备
300360,,炬华科技,电器仪表
600371,,万向德农,种植业
000682,,东方电子,电气设备
